date,time,capacity
2011-03-07,8-20,4
2011-03-08,8-20,4
2011-03-09,8-20,4
2011-03-10,8-20,4
2011-03-11,8-20,4
2011-03-12,9-16,4
2011-03-13,9-16,4
2011-03-14,8-20,4
2011-03-15,8-20,4
2011-03-16,8-20,4
2011-03-17,8-20,4
2011-03-18,8-20,4
2011-03-19,8-20,4
2011-03-20,8-20,4
2011-03-21,8-20,4
2011-03-22,8-20,4
2011-03-23,8-20,4
2011-03-24,8-20,4
2011-03-25,8-20,4
2011-03-26,9-16,4
2011-03-27,9-16,4
2011-03-28,8-20,4
2011-03-29,8-20,4
2011-03-30,8-20,4
2011-03-31,8-20,4
2011-04-01,8-20,4
2011-04-02,9-16,4
2011-04-03,9-16,4
2011-04-04,8-20,4
2011-04-05,8-20,4
2011-04-06,8-20,4
2011-04-07,8-20,4
2011-04-08,8-20,4
2011-04-09,9-16,4
2011-04-10,9-16,4
2011-04-11,8-20,4
2011-04-12,8-20,4
2011-04-13,8-20,4
2011-04-14,8-20,4
2011-04-15,8-20,4
2011-04-16,9-16,4
2011-04-17,9-16,4
2011-04-18,8-20,4
2011-04-19,8-20,4
2011-04-20,8-20,4
2011-04-21,8-20,4
2011-04-22,8-20,4
2011-04-23,9-16,4
2011-04-24,9-16,4
2011-04-25,8-20,4
2011-04-26,8-20,4
2011-04-27,8-20,4
2011-04-28,8-20,4
2011-04-29,8-20,4
2011-04-30,9-16,4
2011-05-01,9-16,4
2011-05-02,8-20,4
2011-05-03,8-20,4
2011-05-04,8-20,4
2011-05-05,8-20,4
2011-05-06,8-20,4
