LAD11CD,LAD11CDO,htc1,htc2,htc3,htc4,htc5,Area
E07000117,30UD,135,270,45,0,0,110.68403
E08000002,00BM,352,495,52,0,0,99.46009
W06000018,00PK,562,262,0,0,0,277.38773
E08000033,00CY,420,457,60,15,0,363.96104
E07000008,12UB,0,210,240,30,0,40.69877
E09000007,00AG,0,0,0,457,5400,21.78932
E07000192,41UB,232,217,0,0,0,78.88258
E07000106,29UC,285,315,52,0,0,320.88931
W06000015,00PT,217,922,210,120,75,149.51129
E07000028,16UD,225,270,15,0,0,1054.35848
W06000010,00NU,570,247,0,0,0,2438.94704
E07000069,22UE,300,127,0,0,0,63.69849
E06000056,00KC,787,337,0,0,0,715.66521
W06000008,00NQ,225,67,22,0,0,1805.8674
E07000130,31UC,382,270,75,7,0,279.04229
E07000070,22UF,390,337,7,0,0,342.99725
E07000078,23UB,142,330,75,15,0,46.59608
E07000177,38UB,442,217,7,0,0,588.74116
E06000049,00EQ,1147,562,7,0,0,1166.35737
E06000050,00EW,1042,487,45,0,0,941.20736
E07000034,17UD,232,255,15,0,0,66.03531
E07000225,45UD,412,112,0,0,0,811.87326
E07000005,11UC,285,135,0,0,0,196.34817
E07000118,30UE,330,165,0,0,0,202.90544
E07000048,19UC,142,82,0,0,0,51.69562
E09000001,00AA,0,0,0,30,0,3.14942
E07000071,22UG,337,382,30,0,0,346.71325
W06000003,00NE,352,157,0,0,0,1153.48339
E07000029,16UE,240,120,7,0,0,775.82148
E07000150,34UB,75,195,0,0,0,80.28095
E06000052,00HE,1792,622,0,0,0,3613.35741
E07000079,23UC,307,75,0,0,0,1164.52442
E06000047,00EJ,1207,1125,15,0,0,2232.69869
E08000026,00CQ,67,877,322,75,150,98.63907
E07000163,36UB,202,37,0,0,0,1178.80738
E07000226,45UE,30,420,30,0,0,44.97118
E09000008,00AH,0,495,517,607,225,86.49441
E07000096,26UC,262,427,0,0,0,212.47634
E06000005,00EH,187,225,30,0,0,197.4756
E07000107,29UD,165,255,15,0,0,76.31039
E07000151,34UC,277,45,0,0,0,665.60051
W06000004,00NG,307,112,15,0,0,846.38009
E06000015,00FK,195,652,180,52,0,78.03111
E07000035,17UF,307,15,0,0,0,795.31792
E08000017,00CE,690,705,37,7,0,568.55102
E07000108,29UE,277,202,0,0,0,320.82734
E08000027,00CR,487,930,67,15,0,97.95819
E09000009,00AJ,0,112,577,742,150,55.54428
E07000009,12UC,285,37,0,0,0,651.72027
E07000040,18UB,495,105,0,0,0,823.70456
E07000049,19UD,390,37,0,0,0,354.41794
E07000085,24UC,397,97,0,0,0,514.43204
E07000097,26UD,435,187,0,0,0,475.66918
E07000137,32UC,487,105,0,0,0,1831.07284
E07000152,34UD,262,90,0,0,0,509.78721
E06000011,00FB,1140,405,7,0,0,2494.79584
E07000193,41UC,300,187,30,0,0,389.98502
E07000061,21UC,75,292,52,15,0,45.5291
E07000086,24UD,375,202,0,0,0,85.26796
E07000030,16UF,232,37,0,0,0,2156.47474
E07000207,43UB,247,360,0,0,0,96.3343
E09000010,00AK,0,217,622,480,150,82.20025
E07000072,22UH,262,322,0,0,0,338.98398
E07000208,43UC,112,202,7,0,0,34.07917
E07000036,17UG,345,195,0,0,0,109.63009
E07000041,18UC,97,330,75,15,0,47.88838
E07000087,24UE,472,67,0,0,0,77.79974
E07000010,12UD,292,105,0,0,0,547.35541
W06000005,00NJ,525,165,0,0,0,489.43953
E07000201,42UC,90,97,0,0,0,377.71094
E07000080,23UD,292,82,0,0,0,561.43215
E07000119,30UF,255,127,0,0,0,182.6334
E08000020,00CH,232,607,97,7,0,144.07989
E07000173,37UE,195,367,7,0,0,119.98161
E07000081,23UE,165,307,52,15,0,40.82658
E07000088,24UF,120,225,0,0,0,27.57782
E07000109,29UG,120,300,37,7,0,104.95884
E07000145,33UD,217,195,45,0,0,182.47202
E09000011,00AL,0,112,412,412,300,50.4419
E07000209,43UD,307,292,30,0,0,270.93113
W06000002,00NC,382,135,15,0,0,2622.37896
E09000012,12:00:00 AM,0,0,0,517,4425,19.04902
E06000006,00ET,217,367,7,0,0,90.32148
E07000164,36UC,307,67,0,0,0,1311.22818
E09000013,00AN,0,0,7,667,1500,17.15409
E07000131,31UD,307,37,0,0,0,592.69191
E09000014,00AP,0,0,135,885,450,29.59837
E07000073,22UJ,22,367,15,0,0,30.53789
E07000165,36UD,525,240,15,0,0,1309.12749
E09000015,00AQ,0,232,570,217,0,50.4633
E07000089,24UG,315,67,0,0,0,215.26513
E06000001,00EB,142,232,22,0,0,98.4417
E07000062,21UD,75,255,45,22,0,30.83193
E07000090,24UH,337,225,0,0,0,79.09948
E09000016,00AR,82,877,135,15,0,114.45735
E06000019,00GA,667,195,7,0,0,2179.70958
E07000098,26UE,120,330,15,0,0,101.12811
E07000037,17UH,337,97,7,0,0,540.25403
E09000017,00AS,0,532,562,90,0,115.70063
E07000132,31UE,412,82,0,0,0,297.34936
E07000227,45UF,457,150,0,0,0,530.96211
E09000018,00AT,0,90,502,420,0,56.58541
E07000011,12UE,600,180,0,0,0,912.54599
E07000120,30UG,127,240,15,0,0,72.99748
E07000202,42UD,105,397,45,15,0,40.30023
W06000001,00NA,262,67,0,0,0,749.02277
E06000046,00MW,382,255,7,0,0,394.92895
E06000053,00HF,0,7,0,0,0,22.84945
E09000019,00AU,0,0,0,570,2850,14.85664
E09000020,00AW,0,0,0,37,7350,12.38379
E07000153,34UE,255,120,7,0,0,233.48993
E07000146,33UE,502,120,7,7,0,1527.59861
E06000010,00FA,60,810,225,82,75,81.49757
E09000021,00AX,0,390,217,112,0,37.26117
E08000034,00CZ,630,952,315,30,75,408.55166
E08000011,00BX,150,540,37,0,0,86.50007
E09000022,00AY,0,0,15,1102,1950,27.2494
E07000121,30UH,285,307,52,0,0,654.21014
E08000035,00DA,690,1875,450,262,225,551.70639
E06000016,00FN,0,487,645,180,450,73.34215
E07000063,21UF,307,157,0,0,0,294.38924
E09000023,00AZ,0,0,285,915,0,35.31706
E07000194,41UD,330,90,0,0,0,331.29448
E07000138,32UD,90,277,37,22,0,35.69019
E08000012,00BY,75,1267,450,202,225,133.5338
E06000032,00KA,7,435,360,97,75,43.35251
E07000110,29UH,427,240,0,0,0,393.35069
E07000074,22UK,255,37,0,0,0,426.68833
E07000235,47UC,262,75,0,0,0,577.071
E08000003,00BN,0,420,840,480,900,115.64826
E07000174,37UF,255,202,15,0,0,76.69688
E06000035,00LC,375,765,60,15,0,269.06393
E07000133,31UG,172,52,0,0,0,481.38047
E07000187,40UB,375,105,7,0,0,739.43545
W06000024,00PH,135,127,0,0,0,111.957
E09000024,00BA,0,202,487,240,0,37.62466
E07000042,18UD,255,67,0,0,0,912.89777
E07000203,42UE,360,37,0,0,0,871.0707
E07000228,45UG,442,180,0,0,0,334.02929
E06000002,00EC,135,352,97,22,0,54.55357
E06000042,00MG,202,727,60,0,0,308.62673
E07000210,43UE,292,112,0,0,0,258.32097
W06000021,00PP,337,67,0,0,0,886.0534
W06000012,00NZ,375,300,0,0,0,451.86998
E07000091,24UJ,697,157,0,0,0,776.909
E07000175,37UG,427,82,0,0,0,651.83548
E08000021,00CJ,75,727,240,187,150,115.11782
E07000195,41UE,307,270,15,0,0,210.95733
E09000025,00BB,0,0,0,1080,525,38.57806
W06000022,00PR,255,405,22,15,0,217.76751
E07000043,18UE,322,112,0,0,0,1105.04544
E07000050,19UE,217,30,0,0,0,609.2179
E07000038,17UJ,315,150,0,0,0,275.6236
E06000012,00FC,375,367,37,7,0,203.55412
E07000099,26UF,270,292,22,0,0,375.38234
E07000139,32UE,367,60,0,0,0,922.47132
E06000013,00FD,495,225,22,0,0,875.68475
E07000147,33UF,397,67,0,0,0,990.39811
E06000024,00HC,607,255,22,0,0,390.80451
E08000022,00CK,232,667,52,0,0,84.81918
E07000218,44UB,255,30,0,0,0,284.26361
E07000134,31UH,352,67,0,0,0,279.32798
E07000154,34UF,262,525,135,22,0,80.77189
E06000048,00EM,855,570,15,0,0,5078.18004
E07000148,33UG,7,315,210,30,0,40.55412
E06000018,00FY,0,487,442,255,300,74.61352
E07000219,44UC,277,292,22,0,0,78.95029
E07000135,31UJ,37,210,7,0,0,23.52607
E08000004,00BP,292,495,187,30,0,142.34507
E07000178,38UC,0,322,195,67,150,45.60289
W06000009,00NS,412,120,0,0,0,1650.27475
E07000122,30UJ,150,217,60,0,0,169.38014
E06000031,00JA,150,480,120,15,0,343.43798
E06000026,00HG,322,675,120,75,0,84.36268
E06000029,00HP,330,337,0,0,0,74.71614
E06000044,00MR,0,547,247,97,75,60.14447
W06000023,00NN,405,120,0,0,0,5195.45622
E07000123,30UK,142,345,90,45,0,142.94477
E07000051,19UG,187,30,0,0,0,427.58391
E06000038,00MC,60,360,217,37,0,40.39798
E09000026,00BC,0,135,630,382,225,56.44225
E06000003,00EE,292,277,22,0,0,253.89087
E07000236,47UD,157,232,22,0,0,54.25095
E07000211,43UF,337,300,7,0,0,129.14397
W06000016,00PF,727,397,0,0,0,424.1505
E07000124,30UL,285,15,0,0,0,584.47153
E09000027,00BD,7,622,217,0,0,58.76111
E07000166,36UE,172,52,0,0,0,1318.70729
E08000005,00BQ,292,570,105,22,75,158.12803
E07000075,22UL,322,75,0,0,0,263.41107
E07000125,30UM,187,127,0,0,0,138.04081
E07000064,21UG,345,90,0,0,0,518.15326
E08000018,00CF,562,622,45,7,0,286.53431
E07000220,44UD,232,180,7,0,0,353.55733
E07000212,43UG,127,255,7,0,0,78.04068
E07000176,37UJ,337,150,22,0,0,409.23148
E07000092,24UL,112,292,22,0,0,39.04512
E06000017,00FP,157,15,0,0,0,393.74897
E07000167,36UF,202,22,0,0,0,1506.59381
E08000006,00BR,150,727,105,37,0,97.19732
E08000028,00CS,37,885,405,52,0,85.55891
E07000168,36UG,315,180,37,0,0,826.25345
E07000188,40UC,322,157,0,0,0,605.874
E08000014,00CA,600,712,75,0,0,204.77967
E07000169,36UH,315,60,0,0,0,602.22309
E07000111,29UK,397,150,0,0,0,370.34689
E08000019,00CG,435,1342,517,127,75,367.93009
E07000112,29UL,232,210,30,0,0,365.51523
E06000051,00GG,1087,307,15,0,0,3197.2755
E06000039,00MD,0,232,330,7,0,32.54201
E08000029,00CT,472,502,7,0,0,178.28205
E07000006,11UE,202,97,0,0,0,141.27564
E07000012,12UG,540,112,0,0,0,901.68725
E07000039,17UK,322,60,0,0,0,338.129
E06000025,00HD,735,450,7,0,0,536.64531
E07000044,18UG,315,52,0,0,0,905.2477
E07000140,32UF,292,60,0,0,0,815.50359
E07000141,32UG,412,172,0,0,0,942.58573
E07000031,16UG,360,82,0,0,0,1743.19085
E07000149,33UH,517,60,0,0,0,908.90662
E07000155,34UG,330,22,0,0,0,634.02325
E07000179,38UD,540,127,0,0,0,678.53708
E07000126,30UN,375,135,0,0,0,114.61505
E07000189,40UD,607,165,0,0,0,959.05811
E07000196,41UF,442,67,0,0,0,407.32224
E08000023,00CL,127,540,82,7,0,67.10839
E06000045,00MS,0,675,217,150,0,56.38515
E06000033,00KF,150,532,90,30,0,67.90098
E09000028,00BE,0,0,37,1020,900,29.9134
E07000213,43UH,150,285,15,0,0,51.16143
E07000100,26UG,300,315,22,0,0,161.2059
E07000204,42UF,270,165,0,0,0,656.96502
E08000013,00BZ,397,472,7,0,0,136.35876
E07000197,41UG,435,165,0,0,0,598.17223
E07000198,41UH,382,60,0,0,0,575.84983
E07000101,26UH,15,367,7,0,0,25.9693
E08000007,00BS,607,780,37,0,0,126.04032
E06000004,00EF,390,375,60,0,0,209.73097
E06000021,00GL,315,765,75,30,0,93.44849
E07000221,44UE,465,60,0,0,0,977.86904
E07000082,23UF,375,142,0,0,0,476.17314
E07000205,42UG,367,112,0,0,0,920.70049
E08000024,00CM,382,870,75,22,0,139.63011
E07000214,43UJ,285,127,0,0,0,95.09303
E09000029,00BF,15,562,270,52,0,43.84698
E07000113,29UM,352,232,7,0,0,422.09543
W06000011,00NX,465,532,75,0,0,420.8979
E06000030,00HX,315,487,52,7,0,230.09336
E08000008,00BT,240,765,37,15,0,103.15421
E07000199,41UK,202,157,7,0,0,30.85073
E07000215,43UK,285,82,0,0,0,248.19463
E07000190,40UE,292,187,7,0,0,462.50304
E07000045,18UH,517,112,0,0,0,681.00809
E06000020,00GF,330,465,15,0,0,290.31346
E07000076,22UN,442,210,7,0,0,365.81791
E07000093,24UN,375,142,0,0,0,627.62179
E07000083,23UG,270,82,0,0,0,414.97587
E07000114,29UN,187,375,45,22,0,112.33888
W06000014,00PD,315,262,0,0,0,339.67579
E07000102,26UJ,210,180,7,0,0,88.82425
E06000034,00KG,187,465,37,7,0,184.31778
E07000115,29UP,360,127,0,0,0,240.97332
E06000027,00HH,270,375,22,0,0,119.46705
W06000020,12:00:00 PM,262,187,0,0,0,126.24005
E07000046,18UK,225,52,0,0,0,995.5889
E09000030,00BG,0,0,0,330,5700,21.57501
E08000009,00BU,247,675,97,7,75,106.04476
E07000116,29UQ,292,202,15,0,0,331.32895
E07000077,22UQ,255,52,0,0,0,641.1828
E07000180,38UE,450,105,0,0,0,578.64468
E08000036,00DB,712,810,30,15,0,338.61969
E08000030,00CU,195,832,165,45,0,103.9735
E09000031,00BH,0,75,240,667,900,38.80793
E09000032,00BJ,0,0,232,1035,150,35.22022
E06000007,00EU,570,345,7,0,0,182.38376
E07000222,44UF,202,375,30,7,0,282.8823
E07000103,26UK,7,322,67,0,0,21.43032
E07000206,42UH,330,195,22,0,0,374.78634
E07000216,43UL,457,150,0,0,0,345.17026
E07000065,21UH,622,90,0,0,0,836.26508
E07000156,34UH,172,172,7,0,0,163.03655
E07000104,26UL,105,322,37,0,0,129.53692
E06000037,00MB,570,150,7,0,0,704.16943
E07000047,18UL,217,15,0,0,0,1164.71774
E07000052,19UH,337,60,0,0,0,1087.06244
E07000127,30UP,367,180,0,0,0,381.09498
E07000142,32UH,315,67,0,0,0,1157.65221
E07000181,38UF,375,60,0,0,0,714.42184
E07000191,40UF,120,22,0,0,0,747.04965
E09000033,00BK,0,0,0,0,8250,22.03005
E07000053,19UJ,150,120,7,0,0,42.996
E08000010,00BW,742,735,22,0,0,188.17091
E06000054,00HY,1537,510,0,0,0,3255.33806
E07000094,24UP,345,150,15,0,0,661.07067
E06000040,00ME,307,337,7,0,0,198.42706
E08000015,00CB,600,870,60,7,0,256.39898
E07000217,43UM,150,255,52,0,0,63.60361
E06000041,00MF,427,285,0,0,0,178.96545
E08000031,00CW,15,765,307,82,150,69.43665
E07000237,47UE,150,262,30,0,0,33.27817
E07000229,45UH,112,322,52,0,0,33.78267
W06000006,00NL,337,270,7,0,0,503.77357
E07000238,47UF,502,82,0,0,0,663.54195
E07000007,11UF,397,330,67,0,0,324.5721
E07000128,30UQ,390,127,0,0,0,329.03022
E07000239,47UG,307,180,0,0,0,195.40376
E06000014,00FF,360,442,67,0,0,272.01473
