LAD11CD,LAD11CDO,htc1,htc2,htc3,htc4,htc5,Area
E07000223,45UB,112,202,0,0,0,43.56388
E07000026,16UB,315,135,0,0,0,1320.5638
E07000032,17UB,450,127,0,0,0,265.43782
E07000224,45UC,405,262,37,0,0,224.2809
E07000170,37UB,322,232,0,0,0,109.55792
E07000105,29UB,292,180,0,0,0,580.61731
E07000004,11UB,555,240,7,0,0,902.75325
E07000200,42UB,360,45,0,0,0,612.04129
E09000002,00AB,0,15,555,217,150,37.79934
E09000003,00AC,0,502,742,322,0,86.74837
E08000016,00CC,540,517,15,0,0,329.07763
E07000027,16UC,180,172,7,0,0,132.06382
E07000066,22UB,292,532,0,0,0,110.44585
E07000084,24UB,427,300,0,0,0,633.81724
E07000171,37UC,375,150,0,0,0,639.49282
E06000022,00HA,375,405,52,7,0,351.12321
E06000055,00KB,232,375,120,30,0,476.40838
E09000004,00AD,15,832,187,52,0,64.28649
E08000025,00CN,60,1942,1560,825,675,267.79121
E07000129,31UB,337,105,0,0,0,130.46876
E06000008,00EX,120,390,135,22,0,137.02199
E06000009,00EY,112,510,82,0,0,43.15074
W06000019,00PL,135,217,0,0,0,108.72795
E07000033,17UC,255,105,0,0,0,160.33459
E08000001,00BL,307,772,180,37,0,139.7921
E07000136,32UB,157,105,7,0,0,397.79284
E06000028,00HN,82,532,97,67,0,47.16808
E06000036,00MA,195,322,7,0,0,109.38421
E08000032,00CX,345,1245,555,97,150,366.41986
E07000067,22UC,367,247,0,0,0,611.70795
E07000143,33UB,412,150,0,0,0,1305.11665
E09000005,00AE,0,7,375,810,525,43.2327
E07000068,22UD,217,112,0,0,0,153.1241
W06000013,00PB,420,210,0,0,0,255.31156
E06000043,00ML,22,675,307,210,75,85.37682
E06000023,00HB,112,1185,345,142,0,235.33937
E07000144,33UC,600,30,0,0,0,553.24429
E09000006,00AF,232,915,240,60,0,150.13487
E07000234,47UB,337,60,0,0,0,216.96846
E07000095,26UB,165,247,7,0,0,51.4422
E07000172,37UD,232,262,22,0,0,80.0988
