LSOA,LA CODE,htc1,htc2,htc3,htc4,htc5,Area
E01000002,00AA,0,0,0,100,0,1
E01000001,00AA,0,0,0,107,0,1
E01000003,00AA,0,0,0,87,0,1
E01000004,00AA,0,0,0,324,0,1
E01000005,00AA,0,0,0,63,0,1
E01000038,00AB,0,57,0,0,0,1
E01000037,00AB,0,59,0,0,0,1
E01000069,00AB,0,0,52,0,0,1
E01000039,00AB,0,0,63,0,0,1
E01000029,00AB,0,0,68,0,0,1
E01000107,00AB,0,0,61,0,0,1
E01000110,00AB,0,0,53,0,0,1
E01000036,00AB,0,0,49,0,0,1
E01000109,00AB,0,0,62,0,0,1
E01000075,00AB,0,0,63,0,0,1
E01000031,00AB,0,0,61,0,0,1
E01000035,00AB,0,0,61,0,0,1
E01000089,00AB,0,0,65,0,0,1
E01000114,00AB,0,0,79,0,0,1
E01000090,00AB,0,0,59,0,0,1
E01000054,00AB,0,0,65,0,0,1
E01000013,00AB,0,0,69,0,0,1
E01000034,00AB,0,0,53,0,0,1
E01000100,00AB,0,0,63,0,0,1
E01000070,00AB,0,0,61,0,0,1
E01000032,00AB,0,0,65,0,0,1
E01000027,00AB,0,0,66,0,0,1
E01000081,00AB,0,0,65,0,0,1
E01000064,00AB,0,0,71,0,0,1
E01000056,00AB,0,0,58,0,0,1
E01000084,00AB,0,0,53,0,0,1
E01000055,00AB,0,0,57,0,0,1
E01000102,00AB,0,0,63,0,0,1
E01000063,00AB,0,0,64,0,0,1
E01000108,00AB,0,0,67,0,0,1
E01000059,00AB,0,0,58,0,0,1
E01000095,00AB,0,0,56,0,0,1
E01000099,00AB,0,0,88,0,0,1
E01000022,00AB,0,0,48,0,0,1
E01000112,00AB,0,0,75,0,0,1
E01000073,00AB,0,0,63,0,0,1
E01000088,00AB,0,0,65,0,0,1
E01000113,00AB,0,0,66,0,0,1
E01000067,00AB,0,0,69,0,0,1
E01000016,00AB,0,0,63,0,0,1
E01000079,00AB,0,0,62,0,0,1
E01000057,00AB,0,0,55,0,0,1
E01000111,00AB,0,0,75,0,0,1
E01000046,00AB,0,0,65,0,0,1
E01000018,00AB,0,0,62,0,0,1
E01000103,00AB,0,0,61,0,0,1
E01000087,00AB,0,0,52,0,0,1
E01000086,00AB,0,0,51,0,0,1
E01000097,00AB,0,0,72,0,0,1
E01000041,00AB,0,0,61,0,0,1
E01000025,00AB,0,0,63,0,0,1
E01000077,00AB,0,0,58,0,0,1
E01000020,00AB,0,0,66,0,0,1
E01000101,00AB,0,0,60,0,0,1
E01000068,00AB,0,0,47,0,0,1
E01000062,00AB,0,0,78,0,0,1
E01000080,00AB,0,0,60,0,0,1
E01000015,00AB,0,0,85,0,0,1
E01000024,00AB,0,0,46,0,0,1
E01000019,00AB,0,0,51,0,0,1
E01000071,00AB,0,0,79,0,0,1
E01000078,00AB,0,0,65,0,0,1
E01000085,00AB,0,0,64,0,0,1
E01000083,00AB,0,0,64,0,0,1
E01000014,00AB,0,0,64,0,0,1
E01000074,00AB,0,0,64,0,0,1
E01000045,00AB,0,0,60,0,0,1
E01000053,00AB,0,0,63,0,0,1
E01000060,00AB,0,0,79,0,0,1
E01000098,00AB,0,0,64,0,0,1
E01000017,00AB,0,0,62,0,0,1
E01000033,00AB,0,0,54,0,0,1
E01000044,00AB,0,0,65,0,0,1
E01000076,00AB,0,0,72,0,0,1
E01000082,00AB,0,0,69,0,0,1
E01000065,00AB,0,0,80,0,0,1
E01000072,00AB,0,0,0,77,0,1
E01000043,00AB,0,0,0,47,0,1
E01000006,00AB,0,0,0,56,0,1
E01000066,00AB,0,0,0,69,0,1
E01000026,00AB,0,0,0,48,0,1
E01000030,00AB,0,0,0,78,0,1
E01000021,00AB,0,0,0,61,0,1
E01000058,00AB,0,0,0,69,0,1
E01000052,00AB,0,0,0,80,0,1
E01000092,00AB,0,0,0,94,0,1
E01000105,00AB,0,0,0,93,0,1
E01000104,00AB,0,0,0,75,0,1
E01000028,00AB,0,0,0,63,0,1
E01000050,00AB,0,0,0,63,0,1
E01000096,00AB,0,0,0,65,0,1
E01000040,00AB,0,0,0,65,0,1
E01000094,00AB,0,0,0,54,0,1
E01000011,00AB,0,0,0,47,0,1
E01000091,00AB,0,0,0,64,0,1
E01000106,00AB,0,0,0,93,0,1
E01000093,00AB,0,0,0,67,0,1
E01000012,00AB,0,0,0,73,0,1
E01000009,00AB,0,0,0,66,0,1
E01000042,00AB,0,0,0,69,0,1
E01000061,00AB,0,0,0,68,0,1
E01000049,00AB,0,0,0,64,0,1
E01000047,00AB,0,0,0,126,0,1
E01000008,00AB,0,0,0,53,0,1
E01000010,00AB,0,0,0,127,0,1
E01000051,00AB,0,0,0,73,0,1
E01000048,00AB,0,0,0,65,0,1
E01000023,00AB,0,0,0,0,55,1
E01000007,00AB,0,0,0,0,61,1
E01000263,00AC,0,51,0,0,0,1
E01000186,00AC,0,49,0,0,0,1
E01000253,00AC,0,63,0,0,0,1
E01000188,00AC,0,51,0,0,0,1
E01000254,00AC,0,65,0,0,0,1
E01000279,00AC,0,56,0,0,0,1
E01000206,00AC,0,62,0,0,0,1
E01000280,00AC,0,51,0,0,0,1
E01000210,00AC,0,60,0,0,0,1
E01000276,00AC,0,50,0,0,0,1
E01000283,00AC,0,48,0,0,0,1
E01000266,00AC,0,53,0,0,0,1
E01000272,00AC,0,49,0,0,0,1
E01000201,00AC,0,55,0,0,0,1
E01000269,00AC,0,54,0,0,0,1
E01000191,00AC,0,53,0,0,0,1
E01000249,00AC,0,58,0,0,0,1
E01000172,00AC,0,60,0,0,0,1
E01000293,00AC,0,67,0,0,0,1
E01000230,00AC,0,66,0,0,0,1
E01000271,00AC,0,61,0,0,0,1
E01000168,00AC,0,57,0,0,0,1
E01000205,00AC,0,62,0,0,0,1
E01000311,00AC,0,53,0,0,0,1
E01000248,00AC,0,72,0,0,0,1
E01000228,00AC,0,48,0,0,0,1
E01000115,00AC,0,49,0,0,0,1
E01000190,00AC,0,55,0,0,0,1
E01000278,00AC,0,51,0,0,0,1
E01000213,00AC,0,46,0,0,0,1
E01000303,00AC,0,54,0,0,0,1
E01000246,00AC,0,65,0,0,0,1
E01000175,00AC,0,62,0,0,0,1
E01000290,00AC,0,69,0,0,0,1
E01000227,00AC,0,61,0,0,0,1
E01000208,00AC,0,65,0,0,0,1
E01000288,00AC,0,57,0,0,0,1
E01000225,00AC,0,53,0,0,0,1
E01000116,00AC,0,63,0,0,0,1
E01000166,00AC,0,64,0,0,0,1
E01000117,00AC,0,76,0,0,0,1
E01000136,00AC,0,61,0,0,0,1
E01000120,00AC,0,50,0,0,0,1
E01000173,00AC,0,61,0,0,0,1
E01000301,00AC,0,55,0,0,0,1
E01000292,00AC,0,64,0,0,0,1
E01000178,00AC,0,70,0,0,0,1
E01000270,00AC,0,65,0,0,0,1
E01000181,00AC,0,71,0,0,0,1
E01000258,00AC,0,72,0,0,0,1
E01000217,00AC,0,55,0,0,0,1
E01000118,00AC,0,70,0,0,0,1
E01000267,00AC,0,58,0,0,0,1
E01000119,00AC,0,61,0,0,0,1
E01000199,00AC,0,69,0,0,0,1
E01000261,00AC,0,69,0,0,0,1
E01000256,00AC,0,66,0,0,0,1
E01000145,00AC,0,50,0,0,0,1
E01000250,00AC,0,105,0,0,0,1
E01000282,00AC,0,66,0,0,0,1
E01000187,00AC,0,59,0,0,0,1
E01000183,00AC,0,60,0,0,0,1
E01000212,00AC,0,54,0,0,0,1
E01000207,00AC,0,64,0,0,0,1
E01000193,00AC,0,61,0,0,0,1
E01000259,00AC,0,99,0,0,0,1
E01000232,00AC,0,70,0,0,0,1
E01000198,00AC,0,0,71,0,0,1
E01000238,00AC,0,0,65,0,0,1
E01000122,00AC,0,0,52,0,0,1
E01000218,00AC,0,0,59,0,0,1
E01000242,00AC,0,0,63,0,0,1
E01000233,00AC,0,0,65,0,0,1
E01000262,00AC,0,0,89,0,0,1
E01000234,00AC,0,0,66,0,0,1
E01000167,00AC,0,0,53,0,0,1
E01000318,00AC,0,0,62,0,0,1
E01000156,00AC,0,0,79,0,0,1
E01000319,00AC,0,0,54,0,0,1
E01000285,00AC,0,0,60,0,0,1
E01000286,00AC,0,0,66,0,0,1
E01000135,00AC,0,0,55,0,0,1
E01000247,00AC,0,0,75,0,0,1
E01000215,00AC,0,0,72,0,0,1
E01000294,00AC,0,0,68,0,0,1
E01000320,00AC,0,0,65,0,0,1
E01000169,00AC,0,0,69,0,0,1
E01000123,00AC,0,0,69,0,0,1
E01000209,00AC,0,0,76,0,0,1
E01000159,00AC,0,0,65,0,0,1
E01000202,00AC,0,0,70,0,0,1
E01000177,00AC,0,0,70,0,0,1
E01000200,00AC,0,0,91,0,0,1
E01000236,00AC,0,0,69,0,0,1
E01000287,00AC,0,0,62,0,0,1
E01000182,00AC,0,0,80,0,0,1
E01000274,00AC,0,0,71,0,0,1
E01000275,00AC,0,0,65,0,0,1
E01000158,00AC,0,0,58,0,0,1
E01000231,00AC,0,0,64,0,0,1
E01000204,00AC,0,0,73,0,0,1
E01000273,00AC,0,0,70,0,0,1
E01000252,00AC,0,0,76,0,0,1
E01000170,00AC,0,0,67,0,0,1
E01000255,00AC,0,0,54,0,0,1
E01000264,00AC,0,0,71,0,0,1
E01000192,00AC,0,0,72,0,0,1
E01000324,00AC,0,0,66,0,0,1
E01000162,00AC,0,0,56,0,0,1
E01000241,00AC,0,0,74,0,0,1
E01000295,00AC,0,0,72,0,0,1
E01000219,00AC,0,0,60,0,0,1
E01000300,00AC,0,0,70,0,0,1
E01000268,00AC,0,0,80,0,0,1
E01000174,00AC,0,0,76,0,0,1
E01000214,00AC,0,0,75,0,0,1
E01000147,00AC,0,0,55,0,0,1
E01000216,00AC,0,0,71,0,0,1
E01000240,00AC,0,0,62,0,0,1
E01000229,00AC,0,0,59,0,0,1
E01000304,00AC,0,0,66,0,0,1
E01000235,00AC,0,0,58,0,0,1
E01000224,00AC,0,0,54,0,0,1
E01000121,00AC,0,0,49,0,0,1
E01000309,00AC,0,0,66,0,0,1
E01000281,00AC,0,0,56,0,0,1
E01000165,00AC,0,0,68,0,0,1
E01000132,00AC,0,0,50,0,0,1
E01000260,00AC,0,0,77,0,0,1
E01000160,00AC,0,0,97,0,0,1
E01000179,00AC,0,0,78,0,0,1
E01000317,00AC,0,0,68,0,0,1
E01000171,00AC,0,0,87,0,0,1
E01000265,00AC,0,0,84,0,0,1
E01000237,00AC,0,0,77,0,0,1
E01000315,00AC,0,0,60,0,0,1
E01000321,00AC,0,0,75,0,0,1
E01000128,00AC,0,0,62,0,0,1
E01000298,00AC,0,0,79,0,0,1
E01000291,00AC,0,0,58,0,0,1
E01000314,00AC,0,0,71,0,0,1
E01000157,00AC,0,0,68,0,0,1
E01000222,00AC,0,0,52,0,0,1
E01000139,00AC,0,0,58,0,0,1
E01000251,00AC,0,0,97,0,0,1
E01000220,00AC,0,0,62,0,0,1
E01000184,00AC,0,0,61,0,0,1
E01000316,00AC,0,0,88,0,0,1
E01000297,00AC,0,0,60,0,0,1
E01000161,00AC,0,0,71,0,0,1
E01000306,00AC,0,0,57,0,0,1
E01000194,00AC,0,0,65,0,0,1
E01000310,00AC,0,0,74,0,0,1
E01000203,00AC,0,0,64,0,0,1
E01000289,00AC,0,0,62,0,0,1
E01000180,00AC,0,0,70,0,0,1
E01000164,00AC,0,0,64,0,0,1
E01000131,00AC,0,0,64,0,0,1
E01000138,00AC,0,0,53,0,0,1
E01000150,00AC,0,0,74,0,0,1
E01000322,00AC,0,0,80,0,0,1
E01000257,00AC,0,0,73,0,0,1
E01000195,00AC,0,0,70,0,0,1
E01000307,00AC,0,0,54,0,0,1
E01000284,00AC,0,0,82,0,0,1
E01000223,00AC,0,0,48,0,0,1
E01000296,00AC,0,0,0,76,0,1
E01000152,00AC,0,0,0,57,0,1
E01000176,00AC,0,0,0,70,0,1
E01000127,00AC,0,0,0,51,0,1
E01000124,00AC,0,0,0,70,0,1
E01000244,00AC,0,0,0,74,0,1
E01000126,00AC,0,0,0,73,0,1
E01000197,00AC,0,0,0,74,0,1
E01000146,00AC,0,0,0,81,0,1
E01000134,00AC,0,0,0,61,0,1
E01000142,00AC,0,0,0,97,0,1
E01000189,00AC,0,0,0,83,0,1
E01000226,00AC,0,0,0,62,0,1
E01000133,00AC,0,0,0,57,0,1
E01000305,00AC,0,0,0,67,0,1
E01000313,00AC,0,0,0,68,0,1
E01000130,00AC,0,0,0,56,0,1
E01000277,00AC,0,0,0,81,0,1
E01000129,00AC,0,0,0,64,0,1
E01000137,00AC,0,0,0,73,0,1
E01000299,00AC,0,0,0,87,0,1
E01000125,00AC,0,0,0,103,0,1
E01000323,00AC,0,0,0,92,0,1
E01000149,00AC,0,0,0,176,0,1
E01000154,00AC,0,0,0,59,0,1
E01000243,00AC,0,0,0,88,0,1
E01000153,00AC,0,0,0,61,0,1
E01000144,00AC,0,0,0,63,0,1
E01000245,00AC,0,0,0,87,0,1
E01000141,00AC,0,0,0,83,0,1
E01000302,00AC,0,0,0,85,0,1
E01000312,00AC,0,0,0,71,0,1
E01000163,00AC,0,0,0,76,0,1
E01000196,00AC,0,0,0,97,0,1
E01000211,00AC,0,0,0,89,0,1
E01000143,00AC,0,0,0,55,0,1
E01000308,00AC,0,0,0,69,0,1
E01000221,00AC,0,0,0,50,0,1
E01000185,00AC,0,0,0,61,0,1
E01000140,00AC,0,0,0,73,0,1
E01000148,00AC,0,0,0,74,0,1
E01000151,00AC,0,0,0,62,0,1
E01000239,00AC,0,0,0,91,0,1
E01000155,00AC,0,0,0,81,0,1
E01000448,00AD,51,0,0,0,0,1
E01000348,00AD,53,0,0,0,0,1
E01000444,00AD,0,64,0,0,0,1
E01000325,00AD,0,59,0,0,0,1
E01000425,00AD,0,59,0,0,0,1
E01000382,00AD,0,60,0,0,0,1
E01000353,00AD,0,66,0,0,0,1
E01000463,00AD,0,45,0,0,0,1
E01000445,00AD,0,69,0,0,0,1
E01000436,00AD,0,63,0,0,0,1
E01000355,00AD,0,62,0,0,0,1
E01000349,00AD,0,66,0,0,0,1
E01000357,00AD,0,49,0,0,0,1
E01000343,00AD,0,57,0,0,0,1
E01000351,00AD,0,63,0,0,0,1
E01000423,00AD,0,62,0,0,0,1
E01000341,00AD,0,62,0,0,0,1
E01000421,00AD,0,61,0,0,0,1
E01000456,00AD,0,49,0,0,0,1
E01000460,00AD,0,50,0,0,0,1
E01000440,00AD,0,52,0,0,0,1
E01000446,00AD,0,60,0,0,0,1
E01000359,00AD,0,50,0,0,0,1
E01000344,00AD,0,65,0,0,0,1
E01000409,00AD,0,66,0,0,0,1
E01000396,00AD,0,51,0,0,0,1
E01000350,00AD,0,53,0,0,0,1
E01000453,00AD,0,53,0,0,0,1
E01000449,00AD,0,67,0,0,0,1
E01000395,00AD,0,50,0,0,0,1
E01000345,00AD,0,49,0,0,0,1
E01000346,00AD,0,62,0,0,0,1
E01000461,00AD,0,57,0,0,0,1
E01000327,00AD,0,62,0,0,0,1
E01000442,00AD,0,64,0,0,0,1
E01000370,00AD,0,67,0,0,0,1
E01000415,00AD,0,52,0,0,0,1
E01000411,00AD,0,56,0,0,0,1
E01000419,00AD,0,61,0,0,0,1
E01000358,00AD,0,68,0,0,0,1
