LSOA,LA CODE,htc1,htc2,htc3,htc4,htc5,Area
E01000420,00AD,0,61,0,0,0,1
E01000452,00AD,0,50,0,0,0,1
E01000328,00AD,0,61,0,0,0,1
E01000362,00AD,0,65,0,0,0,1
E01000340,00AD,0,63,0,0,0,1
E01000387,00AD,0,63,0,0,0,1
E01000356,00AD,0,65,0,0,0,1
E01000342,00AD,0,65,0,0,0,1
E01000410,00AD,0,61,0,0,0,1
E01000455,00AD,0,62,0,0,0,1
E01000371,00AD,0,65,0,0,0,1
E01000388,00AD,0,64,0,0,0,1
E01000437,00AD,0,51,0,0,0,1
E01000413,00AD,0,54,0,0,0,1
E01000458,00AD,0,66,0,0,0,1
E01000451,00AD,0,63,0,0,0,1
E01000443,00AD,0,52,0,0,0,1
E01000394,00AD,0,65,0,0,0,1
E01000363,00AD,0,58,0,0,0,1
E01000347,00AD,0,64,0,0,0,1
E01000391,00AD,0,65,0,0,0,1
E01000424,00AD,0,78,0,0,0,1
E01000377,00AD,0,67,0,0,0,1
E01000390,00AD,0,52,0,0,0,1
E01000383,00AD,0,66,0,0,0,1
E01000361,00AD,0,61,0,0,0,1
E01000329,00AD,0,53,0,0,0,1
E01000376,00AD,0,62,0,0,0,1
E01000339,00AD,0,61,0,0,0,1
E01000389,00AD,0,73,0,0,0,1
E01000412,00AD,0,65,0,0,0,1
E01000369,00AD,0,63,0,0,0,1
E01000364,00AD,0,66,0,0,0,1
E01000399,00AD,0,63,0,0,0,1
E01000326,00AD,0,55,0,0,0,1
E01000398,00AD,0,62,0,0,0,1
E01000438,00AD,0,62,0,0,0,1
E01000393,00AD,0,65,0,0,0,1
E01000450,00AD,0,65,0,0,0,1
E01000352,00AD,0,72,0,0,0,1
E01000366,00AD,0,67,0,0,0,1
E01000439,00AD,0,53,0,0,0,1
E01000426,00AD,0,76,0,0,0,1
E01000447,00AD,0,80,0,0,0,1
E01000454,00AD,0,64,0,0,0,1
E01000427,00AD,0,93,0,0,0,1
E01000379,00AD,0,68,0,0,0,1
E01000417,00AD,0,74,0,0,0,1
E01000384,00AD,0,80,0,0,0,1
E01000334,00AD,0,66,0,0,0,1
E01000407,00AD,0,66,0,0,0,1
E01000365,00AD,0,73,0,0,0,1
E01000332,00AD,0,63,0,0,0,1
E01000331,00AD,0,62,0,0,0,1
E01000381,00AD,0,68,0,0,0,1
E01000400,00AD,0,62,0,0,0,1
E01000462,00AD,0,81,0,0,0,1
E01000360,00AD,0,76,0,0,0,1
E01000441,00AD,0,70,0,0,0,1
E01000401,00AD,0,66,0,0,0,1
E01000354,00AD,0,63,0,0,0,1
E01000375,00AD,0,58,0,0,0,1
E01000459,00AD,0,84,0,0,0,1
E01000432,00AD,0,66,0,0,0,1
E01000430,00AD,0,71,0,0,0,1
E01000408,00AD,0,59,0,0,0,1
E01000414,00AD,0,73,0,0,0,1
E01000337,00AD,0,68,0,0,0,1
E01000435,00AD,0,60,0,0,0,1
E01000385,00AD,0,80,0,0,0,1
E01000333,00AD,0,85,0,0,0,1
E01000330,00AD,0,80,0,0,0,1
E01000372,00AD,0,61,0,0,0,1
E01000406,00AD,0,0,64,0,0,1
E01000368,00AD,0,0,63,0,0,1
E01000374,00AD,0,0,54,0,0,1
E01000434,00AD,0,0,61,0,0,1
E01000338,00AD,0,0,71,0,0,1
E01000405,00AD,0,0,54,0,0,1
E01000397,00AD,0,0,77,0,0,1
E01000378,00AD,0,0,106,0,0,1
E01000402,00AD,0,0,68,0,0,1
E01000418,00AD,0,0,77,0,0,1
E01000335,00AD,0,0,65,0,0,1
E01000416,00AD,0,0,53,0,0,1
E01000457,00AD,0,0,93,0,0,1
E01000467,00AD,0,0,62,0,0,1
E01000403,00AD,0,0,104,0,0,1
E01000392,00AD,0,0,75,0,0,1
E01000380,00AD,0,0,77,0,0,1
E01000367,00AD,0,0,67,0,0,1
E01000468,00AD,0,0,97,0,0,1
E01000428,00AD,0,0,86,0,0,1
E01000469,00AD,0,0,67,0,0,1
E01000386,00AD,0,0,67,0,0,1
E01000433,00AD,0,0,73,0,0,1
E01000431,00AD,0,0,70,0,0,1
E01000466,00AD,0,0,62,0,0,1
E01000336,00AD,0,0,82,0,0,1
E01000464,00AD,0,0,0,56,0,1
E01000429,00AD,0,0,0,75,0,1
E01000465,00AD,0,0,0,74,0,1
E01000422,00AD,0,0,0,69,0,1
E01000470,00AD,0,0,0,75,0,1
E01000404,00AD,0,0,0,103,0,1
E01000373,00AD,0,0,0,70,0,1
E01000569,00AE,0,49,0,0,0,1
E01000540,00AE,0,0,47,0,0,1
E01000563,00AE,0,0,49,0,0,1
E01000538,00AE,0,0,48,0,0,1
E01000580,00AE,0,0,82,0,0,1
E01000492,00AE,0,0,48,0,0,1
E01000493,00AE,0,0,58,0,0,1
E01000562,00AE,0,0,49,0,0,1
E01000582,00AE,0,0,73,0,0,1
E01000542,00AE,0,0,47,0,0,1
E01000536,00AE,0,0,55,0,0,1
E01000566,00AE,0,0,48,0,0,1
E01000624,00AE,0,0,61,0,0,1
E01000590,00AE,0,0,63,0,0,1
E01000479,00AE,0,0,52,0,0,1
E01000574,00AE,0,0,44,0,0,1
E01000537,00AE,0,0,38,0,0,1
E01000513,00AE,0,0,47,0,0,1
E01000584,00AE,0,0,59,0,0,1
E01000480,00AE,0,0,55,0,0,1
E01000587,00AE,0,0,46,0,0,1
E01000555,00AE,0,0,53,0,0,1
E01000592,00AE,0,0,55,0,0,1
E01000539,00AE,0,0,55,0,0,1
E01000530,00AE,0,0,70,0,0,1
E01000514,00AE,0,0,50,0,0,1
E01000588,00AE,0,0,68,0,0,1
E01000585,00AE,0,0,68,0,0,1
E01000534,00AE,0,0,68,0,0,1
E01000516,00AE,0,0,55,0,0,1
E01000486,00AE,0,0,54,0,0,1
E01000581,00AE,0,0,63,0,0,1
E01000572,00AE,0,0,46,0,0,1
E01000623,00AE,0,0,55,0,0,1
E01000629,00AE,0,0,61,0,0,1
E01000518,00AE,0,0,57,0,0,1
E01000571,00AE,0,0,48,0,0,1
E01000589,00AE,0,0,59,0,0,1
E01000567,00AE,0,0,49,0,0,1
E01000573,00AE,0,0,49,0,0,1
E01000541,00AE,0,0,51,0,0,1
E01000478,00AE,0,0,48,0,0,1
E01000619,00AE,0,0,48,0,0,1
E01000620,00AE,0,0,51,0,0,1
E01000543,00AE,0,0,51,0,0,1
E01000489,00AE,0,0,62,0,0,1
E01000520,00AE,0,0,61,0,0,1
E01000500,00AE,0,0,38,0,0,1
E01000632,00AE,0,0,59,0,0,1
E01000519,00AE,0,0,65,0,0,1
E01000617,00AE,0,0,56,0,0,1
E01000618,00AE,0,0,51,0,0,1
E01000491,00AE,0,0,89,0,0,1
E01000609,00AE,0,0,65,0,0,1
E01000507,00AE,0,0,0,51,0,1
E01000497,00AE,0,0,0,61,0,1
E01000499,00AE,0,0,0,52,0,1
E01000502,00AE,0,0,0,47,0,1
E01000476,00AE,0,0,0,47,0,1
E01000509,00AE,0,0,0,43,0,1
E01000621,00AE,0,0,0,53,0,1
E01000475,00AE,0,0,0,61,0,1
E01000487,00AE,0,0,0,71,0,1
E01000498,00AE,0,0,0,47,0,1
E01000631,00AE,0,0,0,55,0,1
E01000471,00AE,0,0,0,49,0,1
E01000606,00AE,0,0,0,57,0,1
E01000496,00AE,0,0,0,44,0,1
E01000576,00AE,0,0,0,54,0,1
E01000510,00AE,0,0,0,58,0,1
E01000565,00AE,0,0,0,51,0,1
E01000593,00AE,0,0,0,68,0,1
E01000625,00AE,0,0,0,64,0,1
E01000579,00AE,0,0,0,72,0,1
E01000583,00AE,0,0,0,99,0,1
E01000549,00AE,0,0,0,95,0,1
E01000517,00AE,0,0,0,51,0,1
E01000635,00AE,0,0,0,87,0,1
E01000607,00AE,0,0,0,68,0,1
E01000503,00AE,0,0,0,74,0,1
E01000554,00AE,0,0,0,71,0,1
E01000511,00AE,0,0,0,55,0,1
E01000564,00AE,0,0,0,49,0,1
E01000522,00AE,0,0,0,71,0,1
E01000636,00AE,0,0,0,55,0,1
E01000591,00AE,0,0,0,68,0,1
E01000547,00AE,0,0,0,77,0,1
E01000612,00AE,0,0,0,54,0,1
E01000474,00AE,0,0,0,50,0,1
E01000570,00AE,0,0,0,52,0,1
E01000512,00AE,0,0,0,62,0,1
E01000633,00AE,0,0,0,58,0,1
E01000616,00AE,0,0,0,62,0,1
E01000473,00AE,0,0,0,74,0,1
E01000560,00AE,0,0,0,69,0,1
E01000485,00AE,0,0,0,49,0,1
E01000608,00AE,0,0,0,79,0,1
E01000505,00AE,0,0,0,54,0,1
E01000488,00AE,0,0,0,51,0,1
E01000484,00AE,0,0,0,43,0,1
E01000594,00AE,0,0,0,54,0,1
E01000578,00AE,0,0,0,72,0,1
E01000535,00AE,0,0,0,83,0,1
E01000515,00AE,0,0,0,69,0,1
E01000477,00AE,0,0,0,68,0,1
E01000532,00AE,0,0,0,67,0,1
E01000575,00AE,0,0,0,64,0,1
E01000504,00AE,0,0,0,68,0,1
E01000546,00AE,0,0,0,81,0,1
E01000611,00AE,0,0,0,52,0,1
E01000613,00AE,0,0,0,63,0,1
E01000601,00AE,0,0,0,46,0,1
E01000610,00AE,0,0,0,66,0,1
E01000568,00AE,0,0,0,75,0,1
E01000501,00AE,0,0,0,75,0,1
E01000628,00AE,0,0,0,74,0,1
E01000615,00AE,0,0,0,61,0,1
E01000553,00AE,0,0,0,69,0,1
E01000627,00AE,0,0,0,70,0,1
E01000559,00AE,0,0,0,63,0,1
E01000644,00AE,0,0,0,71,0,1
E01000558,00AE,0,0,0,68,0,1
E01000494,00AE,0,0,0,73,0,1
E01000603,00AE,0,0,0,58,0,1
E01000634,00AE,0,0,0,76,0,1
E01000595,00AE,0,0,0,62,0,1
E01000602,00AE,0,0,0,51,0,1
E01000472,00AE,0,0,0,60,0,1
E01000630,00AE,0,0,0,78,0,1
E01000622,00AE,0,0,0,65,0,1
E01000557,00AE,0,0,0,74,0,1
E01000531,00AE,0,0,0,93,0,1
E01000638,00AE,0,0,0,74,0,1
E01000481,00AE,0,0,0,63,0,1
E01000577,00AE,0,0,0,81,0,1
E01000533,00AE,0,0,0,96,0,1
E01000523,00AE,0,0,0,107,0,1
E01000643,00AE,0,0,0,85,0,1
E01000604,00AE,0,0,0,54,0,1
E01000482,00AE,0,0,0,103,0,1
E01000508,00AE,0,0,0,76,0,1
E01000506,00AE,0,0,0,68,0,1
E01000640,00AE,0,0,0,80,0,1
E01000550,00AE,0,0,0,89,0,1
E01000527,00AE,0,0,0,82,0,1
E01000605,00AE,0,0,0,55,0,1
E01000526,00AE,0,0,0,82,0,1
E01000561,00AE,0,0,0,83,0,1
E01000626,00AE,0,0,0,60,0,1
E01000641,00AE,0,0,0,73,0,1
E01000529,00AE,0,0,0,127,0,1
E01000600,00AE,0,0,0,85,0,1
E01000586,00AE,0,0,0,115,0,1
E01000483,00AE,0,0,0,65,0,1
E01000525,00AE,0,0,0,81,0,1
E01000639,00AE,0,0,0,67,0,1
E01000548,00AE,0,0,0,110,0,1
E01000596,00AE,0,0,0,64,0,1
E01000545,00AE,0,0,0,87,0,1
E01000524,00AE,0,0,0,102,0,1
E01000597,00AE,0,0,0,47,0,1
E01000495,00AE,0,0,0,86,0,1
E01000614,00AE,0,0,0,130,0,1
E01000637,00AE,0,0,0,62,0,1
E01000642,00AE,0,0,0,94,0,1
E01000544,00AE,0,0,0,79,0,1
E01000599,00AE,0,0,0,0,47,1
E01000528,00AE,0,0,0,0,62,1
E01000490,00AE,0,0,0,0,82,1
E01000551,00AE,0,0,0,0,92,1
E01000552,00AE,0,0,0,0,79,1
E01000521,00AE,0,0,0,0,93,1
E01000598,00AE,0,0,0,0,37,1
E01000556,00AE,0,0,0,0,78,1
E01000815,00AF,57,0,0,0,0,1
E01000759,00AF,56,0,0,0,0,1
E01000826,00AF,57,0,0,0,0,1
E01000748,00AF,71,0,0,0,0,1
E01000794,00AF,62,0,0,0,0,1
E01000658,00AF,57,0,0,0,0,1
E01000833,00AF,50,0,0,0,0,1
E01000645,00AF,56,0,0,0,0,1
E01000656,00AF,54,0,0,0,0,1
E01000810,00AF,60,0,0,0,0,1
E01000839,00AF,56,0,0,0,0,1
E01000667,00AF,65,0,0,0,0,1
E01000694,00AF,70,0,0,0,0,1
E01000809,00AF,64,0,0,0,0,1
E01000757,00AF,61,0,0,0,0,1
E01000761,00AF,58,0,0,0,0,1
E01000834,00AF,47,0,0,0,0,1
E01000830,00AF,56,0,0,0,0,1
E01000688,00AF,52,0,0,0,0,1
